,link,type,year
152,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondEthicsCodeForJudgesRe-Cap.pdf,General,2005
153,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondJusticeSupremeCourtDistrict2Re-Cap.pdf,General,2005
154,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondMayorRe-Cap.pdf,General,2005
155,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondProposal1Re-Cap.pdf,General,2005
156,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondProposal2Re-Cap.pdf,General,2005
157,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondPublicAdvocateRe-Cap.pdf,General,2005
158,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/DemMayorPubAdvbyBoro.pdf,Primary,2005
159,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/WFComptbyBoro.pdf,Primary,2005
160,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005NewYorkDem.pdf,Primary,2005
161,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005NewYorkWF.pdf,Primary,2005
162,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005BronxDem.pdf,Primary,2005
163,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005BronxWF.pdf,Primary,2005
164,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005KingsDem.pdf,Primary,2005
165,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005KingsWF.pdf,Primary,2005
166,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005KingsCon.pdf,Primary,2005
167,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005QueensDem.pdf,Primary,2005
168,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005QueensRep.pdf,Primary,2005
169,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005QueensCon.pdf,Primary,2005
170,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005QueensWF.pdf,Primary,2005
171,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005StaIsDem.pdf,Primary,2005
172,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005StaIsWF.pdf,Primary,2005
173,http://vote.nyc.ny.us/downloads/pdf/results/2005/primary/P2005StaIslCon.pdf,Primary,2005
174,http://vote.nyc.ny.us/downloads/pdf/results/2005/special/bronxspecialelection17council.pdf,Special,2005
175,http://vote.nyc.ny.us/downloads/pdf/results/2005/special/QueensSpecialElection28AssemblyRecap.pdf,Special,2005
176,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/02NYGovernorRecap.pdf,General,2006
177,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/03BronxGovernorRecap.pdf,General,2006
178,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/04KingsGovernorRecap.pdf,General,2006
179,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/05QueensGovernorRecap.pdf,General,2006
180,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/06RichmondGovernorRecap.pdf,General,2006
181,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/08NYStateComptrollerRecap.pdf,General,2006
182,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/09BronxStateComptrollerRecap.pdf,General,2006
183,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/10KingsStateComptrollerRecap.pdf,General,2006
184,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/11QueensStateComptrollerRecap.pdf,General,2006
185,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/12RichmondStateComptrollerRecap.pdf,General,2006
186,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/14NYAttorneyGeneralRecap.pdf,General,2006
187,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/15BronxAttorneyGeneralRecap.pdf,General,2006
188,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/16KingsAttorneyGeneralRecap.pdf,General,2006
189,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/17QueensAttorneyGeneralRecap.pdf,General,2006
190,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/18RichmondAttorneyGeneralRecap.pdf,General,2006
191,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/20NYUSSenateRecap.pdf,General,2006
192,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/21BronxUSSenateRecap.pdf,General,2006
193,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/22KingsUSSenateRecap.pdf,General,2006
194,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/23QueensUSSenateRecap.pdf,General,2006
195,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/24RichmondUSSenateRecap.pdf,General,2006
196,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/25NYSupremeCourtDistrict1Recap.pdf,General,2006
